timestamp,accel_x,accel_y,accel_z,speed_kmh,lat,lon,sats
1778401553.265924,0.655973,-0.28153,9.740279,0.0,0.0,0.0,0
1778401553.4660902,0.641608,-0.295895,9.725914,0.0,0.0,0.0,0
1778401553.6660702,0.663156,-0.286318,9.735491,0.0,0.0,0.0,0
1778401553.8661988,0.641608,-0.295895,9.745068,0.0,0.0,0.0,0
1778401554.0660672,0.641608,-0.276741,9.718732,0.0,0.0,0.0,0
1778401554.2660408,0.653579,-0.288712,9.735491,0.0,0.0,0.0,0
1778401554.4658296,0.64879,-0.28153,9.749856,0.0,0.0,0.0,0
1778401554.6660576,0.622454,-0.279135,9.733097,0.0,0.0,0.0,0
1778401554.8660743,0.634425,-0.293501,9.759433,0.0,0.0,0.0,0
1778401555.0659297,0.624848,-0.293501,9.72352,0.0,0.0,0.0,0
1778401555.2660265,0.663156,-0.274347,9.759433,0.0,0.0,0.0,0
1778401555.465915,0.651185,-0.288712,9.72352,0.0,0.0,0.0,0
1778401555.667738,0.644002,-0.286318,9.752251,0.0,0.0,0.0,0
1778401555.8660252,0.634425,-0.279135,9.740279,0.0,0.0,0.0,0
1778401556.0660205,0.644002,-0.298289,9.752251,0.0,0.0,0.0,0
1778401556.2660236,0.639214,-0.291106,9.733097,0.0,0.0,0.0,0
1778401556.4661603,0.644002,-0.269559,9.742674,0.0,0.0,0.0,0
1778401556.6663487,0.644002,-0.283924,9.740279,0.0,0.0,0.0,0
1778401556.8661244,0.653579,-0.298289,9.725914,0.0,0.0,0.0,0
1778401557.066799,0.646396,-0.26477,9.735491,0.0,0.0,0.0,0
1778401557.1647656,0.000772,-0.047807,9.825016,0.0,0.0,0.0,0
1778401557.2679803,0.644002,-0.288712,9.747462,0.0,0.0,0.0,0
1778401557.3647366,-0.018382,-0.047807,9.815439,0.0,0.0,0.0,0
1778401557.4665704,0.627243,-0.276741,9.757039,0.0,0.0,0.0,0
1778401557.564493,0.010349,-0.059778,9.82741,0.0,0.0,0.0,0
1778401557.666154,0.660761,-0.276741,9.730702,0.0,0.0,0.0,0
1778401557.76469,-0.013593,-0.047807,9.82262,0.0,0.0,0.0,0
1778401557.8667438,0.646396,-0.283924,9.754644,0.0,0.0,0.0,0
1778401557.9647148,-0.004016,-0.059778,9.846563,0.0,0.0,0.0,0
1778401558.0662687,0.655973,-0.286318,9.757039,0.0,0.0,0.0,0
1778401558.1646423,0.010349,-0.040625,9.846563,0.0,0.0,0.0,0
1778401558.2661188,0.658367,-0.267164,9.725914,0.0,0.0,0.0,0
1778401558.3650625,-0.015987,-0.035836,9.825016,0.0,0.0,0.0,0
1778401558.4662793,0.639214,-0.269559,9.749856,0.0,0.0,0.0,0
1778401558.564741,0.000772,-0.031048,9.813044,0.0,0.0,0.0,0
1778401558.6661563,0.634425,-0.300683,9.761827,0.0,0.0,0.0,0
1778401558.7644746,0.000772,-0.040625,9.82262,0.0,0.0,0.0,0
1778401558.8673728,0.641608,-0.279135,9.749856,0.0,0.0,0.0,0
1778401558.9646034,-0.020776,-0.031048,9.79389,0.0,0.0,0.0,0
1778401559.0661578,0.64879,-0.286318,9.752251,0.0,0.0,0.0,0
1778401559.1651683,-0.011199,-0.052596,9.832197,0.0,0.0,0.0,0
1778401559.266142,0.64879,-0.271953,9.742674,0.0,0.0,0.0,0
1778401559.3646677,-0.013593,-0.045413,9.829803,0.0,0.0,0.0,0
1778401559.4661715,0.629637,-0.286318,9.735491,0.0,0.0,0.0,0
1778401559.5649614,-0.018382,-0.038231,9.813044,0.0,0.0,0.0,0
1778401559.6658957,0.64879,-0.28153,9.757039,0.0,0.0,0.0,0
1778401559.7685225,0.000772,-0.045413,9.85614,0.0,0.0,0.0,0
1778401559.8661249,0.641608,-0.288712,9.747462,0.0,0.0,0.0,0
1778401559.964615,-0.006411,-0.033442,9.82741,0.0,0.0,0.0,0
1778401560.0661323,0.658367,-0.276741,9.752251,0.0,0.0,0.0,0
1778401560.101665,0.010731,0.015179,9.84318,0.0,0.0,0.0,0
1778401560.1652822,-0.013593,-0.045413,9.85614,0.0,0.0,0.0,0
1778401560.2661717,0.636819,-0.269559,9.754644,0.0,0.0,0.0,0
1778401560.3018768,-0.029971,0.003208,9.814449,0.0,0.0,0.0,0
1778401560.3651133,-0.011199,-0.038231,9.805862,0.0,0.0,0.0,0
1778401560.4661384,0.646396,-0.283924,9.733097,0.0,0.0,0.0,0
1778401560.5020435,-0.008423,-0.006369,9.790507,0.0,0.0,0.0,0
1778401560.565476,0.003166,-0.033442,9.83938,0.0,0.0,0.0,0
1778401560.666267,0.632031,-0.288712,9.745068,0.0,0.0,0.0,0
1778401560.7017505,0.008336,-0.032705,9.82642,0.0,0.0,0.0,0
1778401560.7657886,0.003166,-0.043019,9.82262,0.0,0.0,0.0,0
1778401560.866166,0.634425,-0.28153,9.737885,0.0,0.0,0.0,0
1778401560.9017315,-0.061095,0.02715,9.812055,0.0,0.0,0.0,0
1778401560.96772,-0.008805,-0.02626,9.875294,0.0,0.0,0.0,0
1778401561.066374,0.636819,-0.269559,9.754644,0.0,0.0,0.0,0
1778401561.101612,-0.018,0.017573,9.807266,0.0,0.0,0.0,0
1778401561.1648898,-0.018382,-0.047807,9.825016,0.0,0.0,0.0,0
1778401561.2661517,0.634425,-0.291106,9.735491,0.0,0.0,0.0,0
1778401561.3018773,0.013125,-0.006369,9.812055,0.0,0.0,0.0,0
1778401561.3647704,-0.008805,-0.047807,9.801073,0.0,0.0,0.0,0
1778401561.4663534,0.655973,-0.295895,9.733097,0.0,0.0,0.0,0
1778401561.501865,0.032279,-0.025522,9.812055,0.0,0.0,0.0,0
