timestamp,earValue
1778835049.4831853,0.40630139448134356
1778835049.5087116,0.41431595923777037
1778835049.5719213,0.39805864164851934
1778835049.6358688,0.3860081078404263
1778835049.6967547,0.3811661061597138
1778835049.777712,0.44482180795987913
1778835049.8375385,0.44787392168336515
1778835049.899937,0.48503885224336585
1778835049.9767156,0.44187439357166725
1778835050.0438132,0.48454056638857224
1778835050.103513,0.5335846787504841
1778835050.1674752,0.48623817817903225
1778835050.2466164,0.4969729975486978
1778835050.3079116,0.5274217001546698
1778835050.3709273,0.5215685126412615
1778835050.448895,0.5698640643758637
1778835050.5100455,0.5167037899701818
1778835050.5734959,0.5103061758267851
1778835050.653474,0.5212959887305965
1778835050.7157125,0.5634574507331378
1778835050.7769606,0.5335816249330022
1778835050.8569996,0.5416314328006541
1778835050.9186716,0.5596927182402552
1778835050.9826643,0.5596365325687205
1778835051.0449677,0.5879841270287122
1778835051.1237085,0.5642760044731279
1778835051.187502,0.5501725801943831
1778835051.250031,0.5569746992028215
1778835051.3287938,0.5461388678010721
1778835051.3884656,0.5414343232328847
1778835051.4506733,0.5450691727932149
1778835051.5291407,0.5376882242233847
1778835051.592898,0.5477089497947808
1778835051.6546535,0.5694788606887806
1778835051.7320168,0.5206932469271337
1778835051.7954214,0.5568935461730697
1778835051.8587778,0.5320284136129632
1778835051.9214785,0.4949829784910864
1778835051.9997802,0.5079661131535664
1778835052.0638652,0.5206011912773274
1778835052.1285481,0.5077650694490948
1778835052.1898208,0.4883652819130338
1778835052.268759,0.4877445229170658
1778835052.330497,0.49701571727105964
1778835052.3920622,0.4582998120501361
1778835052.469887,0.46267270332436805
1778835052.5326192,0.4708709440279376
1778835052.5943022,0.4788645409215879
1778835052.6738954,0.49554834174095097
1778835052.7369466,0.4882205353385216
1778835052.7988274,0.4731276280644885
1778835052.8795698,0.4819664119975613
1778835052.9391804,0.46487234383099374
1778835053.0016549,0.486820989451348
1778835053.080046,0.48571669225449776
1778835053.143109,0.48429441040199617
1778835053.2067342,0.4811868983187685
1778835053.268921,0.485623027573453
1778835053.346698,0.5076927467090566
1778835053.4103498,0.47808287405723665
1778835053.4737241,0.4953339838359501
1778835053.551651,0.4739582981660547
1778835053.6127725,0.4614816153932584
1778835053.6735904,0.4196293755681838
1778835053.753317,0.43034427253012203
1778835053.814742,0.444246385549025
1778835053.8766549,0.44471869270852915
1778835053.954556,0.44981227894775105
1778835054.0180082,0.42970895805095033
1778835054.0787327,0.4194523564909796
1778835054.1576047,0.41231503666772495
1778835054.2190282,0.4139265588218979
1778835054.29777,0.3822846870342479
1778835054.3604708,0.4185094386559679
1778835054.4240625,0.397847245337424
1778835054.4850802,0.40287082120457457
1778835054.5630188,0.4164466942537127
1778835054.6262348,0.41798604404710793
1778835054.6922374,0.3892421247467972
1778835054.766927,0.38680326342288873
1778835054.8286889,0.41773325089489766
1778835054.8930104,0.48183468837110527
1778835054.9711936,0.47919325808082247
1778835055.0324092,0.5022902035703347
1778835055.0923064,0.4913758241491247
1778835055.1711094,0.48823479116113555
1778835055.2367415,0.4799039547093388
1778835055.2957,0.4877894588534477
1778835055.3739765,0.46962466386124657
1778835055.435929,0.47735649167741034
1778835055.498842,0.40780934538757774
