timestamp,accel_x,accel_y,accel_z,speed_kmh,lat,lon,sats
1778401565.8335752,0.021509,-0.023094,9.840997,0.0,0.0,0.0,0
1778401566.0334797,0.00475,-0.008729,9.874516,0.0,0.0,0.0,0
1778401566.2336166,0.002356,0.012819,9.855362,0.0,0.0,0.0,0
1778401566.4334178,0.019115,0.005636,9.898458,0.0,0.0,0.0,0
1778401566.635596,-0.007221,0.041549,9.826632,0.0,0.0,0.0,0
1778401566.8336277,0.035875,-0.015912,9.783536,0.0,0.0,0.0,0
1778401567.033655,-0.026375,-0.008729,9.807478,0.0,0.0,0.0,0
1778401567.2335663,0.002356,-0.023094,9.817055,0.0,0.0,0.0,0
1778401567.4338708,-0.035951,-0.030277,9.805083,0.0,0.0,0.0,0
1778401567.6339614,0.016721,-0.03746,9.793113,0.0,0.0,0.0,0
1778401567.8335865,0.009538,-0.032671,9.86015,0.0,0.0,0.0,0
1778401568.0343304,-0.002433,-0.042248,9.879304,0.0,0.0,0.0,0
1778401568.2371697,-0.052711,0.005636,9.800295,0.0,0.0,0.0,0
1778401568.433548,0.002356,-0.039854,9.824237,0.0,0.0,0.0,0
1778401568.6335568,0.009538,-0.015912,9.86015,0.0,0.0,0.0,0
1778401568.8334816,-0.007221,0.003242,9.93437,0.0,0.0,0.0,0
1778401569.0333142,0.03348,0.005636,9.759594,0.0,0.0,0.0,0
1778401569.2342954,-0.016798,-0.006335,9.800295,0.0,0.0,0.0,0
1778401569.4335377,-0.002433,-0.03746,9.833814,0.0,0.0,0.0,0
1778401569.6338375,0.002356,-0.030277,9.778748,0.0,0.0,0.0,0
1778401569.8375664,-0.014404,-0.025489,9.805083,0.0,0.0,0.0,0
1778401570.0336277,-0.002433,-0.015912,9.83142,0.0,0.0,0.0,0
1778401570.2334082,0.00475,-0.015912,9.84339,0.0,0.0,0.0,0
1778401570.4335008,0.011933,-0.008729,9.812266,0.0,0.0,0.0,0
1778401570.6334693,-0.009615,-0.011123,9.836208,0.0,0.0,0.0,0
1778401570.8332772,-0.019192,0.02479,9.793113,0.0,0.0,0.0,0
1778401571.0334074,0.019115,0.027184,9.819448,0.0,0.0,0.0,0
1778401571.233292,-0.02398,0.010424,9.817055,0.0,0.0,0.0,0
1778401571.4332404,0.00475,0.020001,9.852967,0.0,0.0,0.0,0
1778401571.633287,-0.007221,0.017607,9.81466,0.0,0.0,0.0,0
1778401571.8332644,0.00475,-0.047036,9.807478,0.0,0.0,0.0,0
1778401572.0337126,-0.014404,-0.027883,9.819448,0.0,0.0,0.0,0
1778401572.2335124,-0.012009,0.015213,9.850574,0.0,0.0,0.0,0
1778401572.4334047,0.019115,0.020001,9.807478,0.0,0.0,0.0,0
1778401572.6334028,0.023904,-0.035065,9.884092,0.0,0.0,0.0,0
1778401572.833431,-0.009615,0.022395,9.771564,0.0,0.0,0.0,0
1778401573.033453,-3.8e-05,0.00803,9.867332,0.0,0.0,0.0,0
1778401573.233496,-0.016798,0.000848,9.817055,0.0,0.0,0.0,0
1778401573.4332669,0.00475,-0.013518,9.81466,0.0,0.0,0.0,0
1778401573.6334774,-3.8e-05,0.041549,9.848179,0.0,0.0,0.0,0
